utasazon;nev;szuldatum;telefon
1418;"Latorczai Attila";1975.2.12;"(20) 2162062"
1419;"Solymos Ilona";1952.5.18;"(20) 2564574"
1420;"Filkor Zsuzsanna";1965.1.27;"(20) 3608762"
1421;"Hegyi Andrea";1927.4.30;"(20) 4859291"
1422;"Koller Zsófia";1932.11.1;"(70) 1704492"
1423;"Nyúzó Zsófia";1929.3.9;"(30) 3718403"
1424;"Zsengellér Zoltán";1977.9.18;"(70) 4625027"
1425;"Kelemen Dániel";1931.9.23;"(30) 1994604"
1426;"Bethlen Judit";1954.4.28;"(70) 3018184"
1427;"Hertelendi Gabriella";1960.3.9;"(30) 3992587"
1428;"Eszes József";1924.12.4;"(70) 3050324"
1429;"Balajti Enikõ";1939.11.4;"(20) 3405995"
1430;"Bethlen Lajos";1959.2.16;"(20) 3534601"
1431;"Tolnai Judit";1925.12.10;"(20) 1668917"
1432;"Császár Zsuzsanna";1950.3.7;"(70) 3706794"
1433;"Cseszneki Andrea";1955.7.20;"(20) 1519014"
1434;"Hegyi Mariann";1962.4.20;"(70) 4490123"
1435;"Hegyi Gabriella";1931.3.30;"(30) 3376902"
1436;"Csutor Bernadett";1939.11.28;"(20) 4449927"
1437;"Cseszneki Péter";1930.7.9;"(70) 3338024"
1438;"Turai Kitti";1957.12.19;"(30) 2734629"
1439;"Kaló Klaudia";1975.8.27;"(20) 4720615"
1440;"Császár Zoltán";1925.2.10;"(30) 2519984"
1441;"Illés Mariann";1937.12.30;"(30) 1054792"
1442;"Turai Sára";1958.8.15;"(30) 4148232"
1443;"Abonyi Géza";1947.6.6;"(70) 2057540"
1444;"Halmos Tibor";1971.7.30;"(30) 4133995"
1445;"Major Judit";1932.7.22;"(30) 1676059"
1446;"Zsikla Géza";1923.9.29;"(20) 2167255"
1447;"Gelencsér Nikolett";1936.10.18;"(70) 2768769"
1448;"Turai Zita";1971.8.5;"(20) 4154813"
1449;"Verpeléti Gabriella";1947.11.10;"(30) 3079712"
1450;"Nyúzó Brigitta";1974.7.10;"(30) 4488557"
1451;"Balajti Bernadett";1927.10.24;"(20) 2790614"
1452;"Kaló Bernadett";1933.11.24;"(70) 2012149"
1453;"Nagy András";1977.10.12;"(20) 3766367"
1454;"Halmos Georgina";1933.1.27;"(20) 3295571"
1455;"Baranyai Péter";1973.6.24;"(30) 4940280"
1456;"Gelencsér Dániel";1923.5.5;"(70) 4511314"
1457;"Molnár Judit";1935.4.3;"(20) 4915372"
1458;"Braun Pál";1954.5.19;"(20) 4318996"
1459;"Vállas Klaudia";1938.4.1;"(30) 3020900"
1460;"Tolnai Ilona";1936.1.13;"(20) 1488215"
1461;"Békési Dávid";1920.11.8;"(30) 2564623"
1462;"Tolnai Szonja";1951.1.26;"(20) 4465119"
1463;"Hegyi Zsófia";1951.4.27;"(70) 3680145"
1464;"Latorczai Alajos";1942.6.9;"(30) 3307946"
1465;"Molnár Ilona";1938.3.19;"(20) 2828203"
1466;"Tóth László";1959.12.14;"(30) 1370889"
1467;"Zsengellér Ilona";1921.7.27;"(20) 1738258"
1468;"Filkor Edina";1955.5.20;"(30) 4741682"
1469;"Tóth András";1951.1.1;"(30) 4129543"
1470;"Nyúzó János";1923.8.19;"(30) 2557510"
1471;"Szabó Georgina";1927.12.30;"(70) 2278499"
1472;"Csikós Nikolett";1930.10.7;"(20) 2577141"
1473;"Baranyai Attila";1948.9.30;"(30) 4626526"
1474;"Varga Dávid";1976.2.1;"(30) 3744413"
1475;"Eszes Tibor";1930.5.13;"(70) 2519647"
1476;"Halmos Andrea";1945.4.23;"(70) 3592558"
1477;"Abonyi Szonja";1974.7.11;"(30) 4411844"
1478;"Kovács Lehel";1935.12.1;"(30) 4797672"
1479;"Tolnai Dénes";1970.11.27;"(70) 2334487"
1480;"Varga Enikõ";1972.5.10;"(70) 3749792"
1481;"Halmos Bálint";1927.12.28;"(30) 1832239"
1482;"Tolnai Sára";1933.7.19;"(70) 1217685"
1483;"Halmos Mariann";1976.11.11;"(30) 4373858"
1484;"Zsolnai Sára";1948.5.13;"(30) 1804665"
1485;"Kiss Alajos";1949.5.17;"(30) 3682334"
1486;"Filkor Gabriella";1935.8.14;"(30) 2082913"
1487;"Turai János";1969.7.20;"(30) 3826039"
1488;"Kelemen Roland";1932.5.23;"(20) 4760078"
1489;"Tolnai Bernadett";1938.5.11;"(30) 1965117"
1490;"Abonyi Sándor";1954.11.13;"(30) 1360428"
1491;"Kelemen Géza";1970.8.18;"(20) 3493429"
1492;"Tóth Bernadett";1959.1.9;"(20) 4141424"
1493;"Császár Bernadett";1946.3.21;"(70) 3991156"
1494;"Abonyi Dénes";1971.4.16;"(70) 4220527"
1495;"Antal Bálint";1925.7.26;"(30) 4374923"
1496;"Balajti Bálint";1935.2.11;"(70) 2237532"
1497;"Békési Dániel";1960.1.15;"(70) 2294419"
1498;"Csikós Brigitta";1978.3.30;"(70) 4120472"
1499;"Eszes Nikolett";1979.6.23;"(30) 1262209"
1500;"Békési Zsolt";1959.10.29;"(20) 1149711"
1501;"Kalas Lajos";1936.11.7;"(20) 1103270"
1502;"Kalányos Bernadett";1963.8.23;"(20) 3843237"
1503;"Tóth Roland";1923.2.14;"(20) 4417381"
1504;"Latorczai Edina";1955.11.25;"(30) 1519434"
1505;"Latorczai Ferenc";1920.4.2;"(20) 1472403"
1506;"Magyar Géza";1976.7.6;"(20) 2872703"
1507;"Cseszneki Lajos";1962.1.5;"(70) 2304027"
1508;"Baranyai József";1971.1.30;"(20) 4578410"
1509;"Kiss Lajos";1945.12.30;"(70) 4118142"
1510;"Hegyi Kitti";1954.6.6;"(20) 4944479"
1511;"Solymos Dávid";1953.3.10;"(30) 3881083"
1512;"Latorczai Alajos";1937.11.19;"(20) 4905466"
1513;"Zsengellér Katalin";1962.9.17;"(20) 1802966"
1514;"Kalányos Barbara";1953.8.3;"(70) 4614259"
1515;"Kertész Zsuzsanna";1942.10.14;"(20) 2165628"
1516;"Megyeri Zita";1927.8.10;"(70) 1881724"
1517;"Zsolnai Bálint";1966.8.5;"(70) 3329766"
1518;"Szûcs Zoltán";1922.12.14;"(20) 3284521"
1519;"Abonyi Dániel";1925.3.15;"(20) 3980628"
1520;"Csutor Enikõ";1952.6.2;"(20) 1239853"
1521;"Zsikla Andrea";1979.8.27;"(30) 2293090"
1522;"Kalányos Pál";1921.3.30;"(30) 2006527"
1523;"Szabó Judit";1934.11.6;"(20) 1638375"
1524;"Józsa Anikó";1937.1.9;"(70) 1242824"
1525;"Molnár Zoltán";1935.1.5;"(30) 1582129"
1526;"Hertelendi Edina";1976.12.13;"(70) 3550935"
1527;"Kalas Klaudia";1965.1.22;"(70) 1069536"
1528;"Kovács Lehel";1968.6.13;"(30) 3085813"
1529;"Molnár Ilona";1936.12.15;"(30) 4429013"
1530;"Józsa Kitti";1932.6.14;"(30) 3953783"
1531;"Nyúzó Brigitta";1939.8.18;"(70) 3627391"
1532;"Bethlen Mariann";1934.12.23;"(30) 1555232"
1533;"Braun Attila";1979.6.29;"(30) 3452385"
1534;"Tóth Péter";1958.4.18;"(30) 2550519"
1535;"Hertelendi Dávid";1979.9.9;"(20) 1563565"
1536;"Kisteleki Zita";1973.3.2;"(20) 3203351"
1537;"Kelemen Ilona";1976.3.25;"(20) 1984119"
1538;"Megyeri Dávid";1954.5.21;"(20) 2679982"
1539;"Csutor Alajos";1933.4.30;"(20) 4203087"
1540;"Kuhárszky Attila";1926.6.20;"(30) 1337951"
1541;"Molnár Etelka";1925.9.4;"(30) 4091361"
1542;"Baranyai Dénes";1976.6.7;"(20) 1624076"
1543;"Solymos Alajos";1962.11.10;"(30) 3025360"
1544;"Szekeres Roland";1949.1.27;"(30) 4663099"
1545;"Lengyel Brigitta";1955.2.9;"(30) 4910642"
1546;"Vörös Zsolt";1930.12.25;"(20) 1219580"
1547;"Zsolnai Sándor";1925.11.3;"(30) 4868692"
1548;"Darázs Katalin";1949.8.20;"(70) 4178643"
1549;"Tolnai Ilona";1978.3.27;"(20) 2569796"
1550;"Zsengellér Lehel";1974.10.13;"(30) 3138417"
1551;"Koltai Szonja";1970.6.22;"(70) 2794673"
1552;"Magyar Lehel";1970.9.30;"(70) 2520493"
1553;"Solymos Szonja";1947.8.24;"(30) 2575443"
1554;"Magyar Katalin";1936.4.18;"(70) 2932369"
1555;"Vállas Edina";1929.6.23;"(20) 3367420"
1556;"Balajti Dániel";1977.7.19;"(20) 1736305"
1557;"Filkor Roland";1930.8.3;"(20) 2224914"
1558;"Fekete Edina";1963.8.8;"(20) 2586697"
1559;"Zoltai Pál";1955.11.18;"(30) 1321370"
1560;"Kisteleki Alajos";1921.1.3;"(20) 4591831"
1561;"Illés Klaudia";1969.7.3;"(30) 2729365"
1562;"Hegyi Zsuzsanna";1930.9.26;"(30) 1867924"
1563;"Tolnai Mariann";1928.2.17;"(30) 2914483"
1564;"Tóth Sára";1973.10.30;"(20) 3589546"
1565;"Szabó Bálint";1963.7.28;"(20) 2437418"
1566;"Antal Roland";1955.2.5;"(70) 1081131"
1567;"Kertész Pál";1925.8.25;"(70) 1196560"
1568;"Nagy Tibor";1945.4.11;"(30) 2319759"
1569;"Vállas Sándor";1954.10.5;"(30) 4376893"
1570;"Kelemen Szonja";1938.8.27;"(30) 4218576"
1571;"Szekeres Zsuzsanna";1977.6.1;"(20) 1251362"
1572;"Horkai Gabriella";1960.10.4;"(30) 1534691"
1573;"Kalas Helga";1965.10.19;"(20) 3263904"
1574;"Vörös Szonja";1962.8.4;"(70) 4222487"
1575;"Verpeléti Attila";1955.5.29;"(30) 1137689"
1576;"Antal Zsolt";1972.7.4;"(20) 4554716"
1577;"Józsa Zita";1945.8.24;"(70) 2672148"
1578;"Baranyai Dániel";1950.4.24;"(30) 2775238"
1579;"Zsengellér Klaudia";1959.3.1;"(30) 2307818"
1580;"Szekeres Judit";1974.7.2;"(20) 2926535"
1581;"Szûcs Lehel";1929.5.7;"(20) 3458464"
1582;"Braun Andrea";1955.11.9;"(30) 2737215"
1583;"Abonyi László";1979.1.20;"(70) 3246700"
1584;"Vállas Andrea";1920.8.19;"(30) 4272063"
1585;"Antal Sándor";1971.1.1;"(70) 4654162"
1586;"Balajti Sára";1969.4.22;"(20) 1176031"
1587;"Halmos Szonja";1967.9.21;"(20) 4809119"
1588;"Csutor Ilona";1940.3.4;"(20) 2896508"
1589;"Latorczai László";1956.8.24;"(30) 2938940"
1590;"Darázs Péter";1931.7.9;"(20) 2234310"
1591;"Halmos Mariann";1944.6.29;"(20) 4650973"
1592;"Kalányos Géza";1943.6.16;"(20) 2730571"
1593;"Antal Roland";1942.2.11;"(20) 1248038"
1594;"Kalas Bálint";1942.4.16;"(20) 3658663"
1595;"Gelencsér Sándor";1949.9.22;"(30) 4712013"
1596;"Tóth Zsuzsanna";1955.6.10;"(30) 3105369"
1597;"Tolnai Roland";1937.1.20;"(30) 4090874"
1598;"Kalas János";1948.1.28;"(20) 2473246"
1599;"Zsikla Zsófia";1949.5.19;"(30) 3134313"
1600;"Kisteleki Pál";1942.11.9;"(20) 2125759"
1601;"Vörös Lajos";1973.3.11;"(30) 3310429"
1602;"Baranyai Klaudia";1955.4.28;"(20) 3064331"
1603;"Kovács Miklós";1951.7.16;"(30) 2432400"
1604;"Gelencsér Bernadett";1953.1.28;"(30) 1315603"
1605;"Kertész Nikolett";1950.10.18;"(30) 3001584"
1606;"Lengyel Ferenc";1951.6.30;"(70) 2295014"
1607;"Szekeres Tibor";1966.11.13;"(30) 3476835"
1608;"Kuhárszky Klaudia";1934.3.7;"(70) 1763703"
1609;"Darázs Ilona";1962.1.24;"(30) 1863803"
1610;"Kalas Roland";1960.4.13;"(20) 4228669"
1611;"Hertelendi Andrea";1935.9.17;"(30) 4477661"
1612;"Józsa Bálint";1944.11.16;"(20) 1071762"
1613;"Varga Anikó";1921.9.13;"(70) 4558307"
1614;"Tóth Georgina";1931.7.10;"(70) 4892244"
1615;"Kiss Géza";1931.11.1;"(70) 1035503"
1616;"Szabó Mariann";1928.8.4;"(30) 4043519"
1617;"Balajti Zsófia";1973.11.12;"(30) 1037020"
1618;"Békési Attila";1960.11.11;"(30) 4635049"
1619;"Gelencsér Ferenc";1959.5.23;"(20) 3855241"
1620;"Kisteleki János";1972.5.14;"(30) 2285590"
1621;"Kaló Ferenc";1970.9.5;"(70) 1392331"
1622;"Csikós József";1958.3.12;"(30) 3809184"
1623;"Zsengellér Enikõ";1939.4.2;"(30) 4608494"
1624;"Nagy Ferenc";1945.1.25;"(30) 3491907"
1625;"Zoltai László";1925.10.11;"(70) 3480638"
1626;"Koller Enikõ";1923.7.19;"(30) 1600840"
1627;"Halmos Roland";1956.1.8;"(20) 2861317"
1628;"Megyeri Ilona";1977.11.30;"(30) 2015834"
1629;"Szûcs András";1967.5.25;"(20) 2728949"
1630;"Varga Bálint";1950.4.2;"(30) 1486322"
1631;"Kalas Klaudia";1956.8.7;"(30) 1868862"
1632;"Koller Helga";1929.1.11;"(20) 4759741"
1633;"Tolnai Helga";1948.6.28;"(30) 3286292"
1634;"Kaló Nikolett";1929.9.7;"(30) 1901633"
1635;"Horkai Barbara";1926.2.8;"(30) 4197427"
1636;"Nyúzó Helga";1941.10.16;"(20) 4340255"
1637;"Tolnai Szonja";1920.8.19;"(30) 3451516"
1638;"Verpeléti Edina";1926.8.25;"(30) 1655480"
1639;"Kisteleki Brigitta";1939.10.2;"(70) 2821207"
1640;"Kuhárszky Sándor";1948.5.16;"(70) 4058471"
1641;"Kalas Lehel";1938.4.24;"(20) 2700331"
1642;"Zsikla Ferenc";1961.12.3;"(30) 4090681"
1643;"Békési Bernadett";1940.5.4;"(20) 4290385"
1644;"Vörös Etelka";1972.1.15;"(20) 2576122"
1645;"Császár József";1936.1.2;"(20) 4926654"
1646;"Baranyai Péter";1960.10.21;"(70) 1623169"
1647;"Békési Miklós";1976.8.10;"(30) 3501806"
1648;"Zoltai Klaudia";1927.10.21;"(30) 1595080"
1649;"Csikós Bernadett";1969.2.28;"(70) 4060687"
1650;"Latorczai Ferenc";1938.6.22;"(20) 1705739"
1651;"Koltai Géza";1975.1.29;"(30) 3538647"
1652;"Kiss Lajos";1963.1.8;"(30) 2044230"
1653;"Baranyai Judit";1969.10.6;"(70) 4538349"
1654;"Csutor Sára";1948.2.29;"(30) 3043518"
1655;"Major Zoltán";1963.7.25;"(20) 2198789"
1656;"Balajti Brigitta";1974.10.20;"(20) 1537817"
1657;"Kertész Dénes";1929.12.1;"(30) 3151135"
1658;"Latorczai Bálint";1932.8.6;"(30) 1845583"
1659;"Kalányos Dávid";1943.7.8;"(30) 1508126"
1660;"Magyar Zsófia";1948.9.8;"(70) 1162723"
1661;"Szekeres Dávid";1936.3.1;"(30) 4013308"
1662;"Bethlen Zsófia";1926.6.28;"(30) 4666084"
1663;"Fekete Klaudia";1979.1.10;"(20) 3072839"
1664;"Csikós Judit";1949.8.12;"(30) 3532299"
1665;"Balajti Sára";1932.6.15;"(20) 3974482"
1666;"Kuhárszky Dániel";1979.11.9;"(70) 4398354"
1667;"Kuhárszky Dániel";1951.2.15;"(30) 2271054"
1668;"Szekeres Helga";1972.4.30;"(70) 3150383"
1669;"Vállas Bernadett";1960.2.11;"(70) 3072842"
1670;"Cseszneki Zsolt";1924.7.7;"(20) 4264064"
1671;"Császár Dániel";1927.1.24;"(30) 1689464"
1672;"Józsa Andrea";1926.8.29;"(20) 2362236"
1673;"Kalas Judit";1977.2.18;"(30) 1673200"
1674;"Zsengellér Mátyás";1979.6.12;"(30) 4527638"
1675;"Kertész Zsuzsanna";1957.3.10;"(30) 4918335"
1676;"Zsikla Brigitta";1946.11.13;"(70) 4937447"
1677;"Megyeri Pál";1976.11.3;"(30) 2644080"
1678;"Zoltai Georgina";1951.6.6;"(30) 4515003"
1679;"Illés Georgina";1928.3.23;"(20) 2952931"
1680;"Császár Nikolett";1924.9.4;"(20) 3815541"
1681;"Halmos Anikó";1940.4.11;"(20) 4374626"
1682;"Koller Katalin";1938.7.19;"(70) 3884011"
1683;"Szabó Georgina";1924.10.7;"(70) 4535520"
1684;"Verpeléti Edina";1939.8.19;"(70) 1350075"
1685;"Magyar Ilona";1949.3.30;"(70) 1053423"
1686;"Darázs Katalin";1947.7.18;"(30) 3804248"
1687;"Molnár Lajos";1957.9.18;"(30) 3474194"
1688;"Braun Helga";1964.6.14;"(30) 1044475"
1689;"Kalas Ilona";1965.2.27;"(30) 2192414"
1690;"Major Zsófia";1948.12.25;"(70) 3989404"
1691;"Császár Andrea";1973.11.22;"(20) 4008174"
1692;"Hertelendi Miklós";1954.5.19;"(30) 4676041"
1693;"Kalányos János";1935.1.10;"(30) 3533519"
1694;"Nagy Dávid";1924.10.17;"(30) 2318397"
1695;"Solymos Andrea";1947.12.27;"(20) 1785968"
1696;"Császár Mátyás";1958.9.25;"(30) 3957278"
1697;"Kaló Sándor";1968.10.14;"(30) 3661015"
1698;"Zsolnai Bálint";1961.9.9;"(70) 1568723"
1699;"Kuhárszky Zsolt";1972.9.3;"(30) 2288577"
1700;"Horkai Dániel";1939.6.15;"(20) 1341375"
1701;"Fekete Mátyás";1970.12.15;"(70) 4312181"
1702;"Nyúzó Bálint";1940.6.21;"(30) 4588322"
1703;"Illés Edina";1938.1.13;"(30) 3199457"
1704;"Kalas Zoltán";1977.1.6;"(30) 1759563"
1705;"Filkor László";1969.9.30;"(20) 4803765"
1706;"Eszes Pál";1932.9.3;"(30) 3136235"
1707;"Illés Zsolt";1946.12.26;"(20) 2632326"
1708;"Tolnai Szonja";1939.11.22;"(30) 4009124"
1709;"Tolnai Andrea";1924.12.26;"(20) 1816705"
1710;"Antal Attila";1930.2.18;"(20) 4394725"
1711;"Gelencsér Miklós";1965.1.3;"(30) 1255257"
1712;"Zsolnai Etelka";1960.6.29;"(20) 3334063"
1713;"Eszes Etelka";1938.10.6;"(30) 2470282"
1714;"Zoltai János";1970.2.8;"(30) 2914943"
1715;"Verpeléti Kitti";1978.10.29;"(20) 1941964"
1716;"Illés Bernadett";1966.9.21;"(30) 3078799"
1717;"Major Gabriella";1959.10.10;"(30) 1439575"
1718;"Nagy Miklós";1967.5.7;"(20) 1293547"
1719;"Józsa Anikó";1948.1.22;"(20) 4561780"
1720;"Filkor Sára";1921.6.3;"(30) 4377716"
1721;"Eszes Klaudia";1942.5.4;"(20) 1662267"
1722;"Szekeres Klaudia";1940.1.23;"(20) 3135144"
1723;"Koller Dávid";1968.3.17;"(20) 3801720"
1724;"Vállas Enikõ";1968.5.25;"(70) 4445688"
1725;"Nyúzó Péter";1944.4.5;"(70) 1206072"
1726;"Kisteleki Lehel";1976.2.7;"(30) 1496964"
1727;"Csikós Sándor";1939.10.25;"(30) 4557584"
1728;"Bethlen Georgina";1967.4.16;"(30) 4986302"
1729;"Szekeres Zita";1941.11.10;"(20) 4208133"
1730;"Filkor Dénes";1970.11.30;"(20) 2728680"
1731;"Koller Katalin";1944.5.5;"(20) 3585551"
1732;"Nagy Sándor";1937.1.23;"(20) 4099683"
1733;"Varga Gabriella";1968.8.28;"(30) 4168049"
1734;"Tóth Klaudia";1962.1.19;"(30) 1584173"
1735;"Nyúzó Miklós";1923.6.1;"(30) 1392035"
1736;"Csutor Attila";1970.12.5;"(20) 2992431"
1737;"Vörös Tibor";1972.4.23;"(20) 3426920"
1738;"Nagy Zsófia";1975.11.20;"(30) 1142221"
1739;"Lengyel Dávid";1944.1.11;"(70) 4280190"
1740;"Verpeléti Alajos";1959.11.27;"(70) 1206996"
1741;"Csikós Pál";1921.2.13;"(30) 3655302"
1742;"Fekete Roland";1968.11.19;"(20) 2747431"
1743;"Balajti Andrea";1929.2.17;"(20) 4129167"
1744;"Molnár Miklós";1933.3.14;"(20) 2985957"
1745;"Baranyai Péter";1957.6.25;"(30) 1594443"
1746;"Verpeléti Katalin";1947.11.15;"(20) 3838588"
1747;"Magyar János";1924.2.14;"(30) 4234825"
1748;"Abonyi Mátyás";1964.2.12;"(30) 1816559"
1749;"Szabó Alajos";1939.5.13;"(30) 1922904"
1750;"Zsengellér Edina";1951.9.30;"(20) 2766612"
1751;"Csutor Judit";1932.9.3;"(30) 1974698"
1752;"Gelencsér Edina";1972.6.23;"(30) 2203570"
1753;"Bethlen Alajos";1974.3.29;"(20) 4602346"
1754;"Filkor Lajos";1941.3.2;"(70) 3902066"
1755;"Lengyel Barbara";1943.4.24;"(20) 2705559"
1756;"Zsikla Alajos";1929.9.26;"(20) 4677147"
1757;"Kertész Mariann";1970.5.14;"(20) 3003833"
1758;"Tolnai Bálint";1950.9.2;"(30) 1728713"
1759;"Bethlen Alajos";1936.2.21;"(70) 4213553"
1760;"Császár Edina";1944.5.13;"(20) 2967714"
1761;"Halmos Roland";1920.7.24;"(30) 4483233"
1762;"Verpeléti Géza";1927.9.4;"(70) 4490854"
1763;"Zsolnai Kitti";1928.11.17;"(70) 4936593"
1764;"Baranyai Georgina";1961.4.10;"(30) 2025312"
1765;"Kelemen Brigitta";1974.3.2;"(30) 2763341"
1766;"Koltai Andrea";1976.6.10;"(20) 4161990"
1767;"Kiss Tibor";1935.7.20;"(30) 1213238"
1768;"Koltai Zsuzsanna";1971.7.27;"(70) 3049809"
1769;"Halmos Enikõ";1922.7.17;"(30) 1243335"
1770;"Zsengellér Klaudia";1970.5.18;"(30) 3464870"
1771;"Illés Anikó";1967.9.27;"(30) 1037072"
1772;"Tolnai Lajos";1922.3.2;"(30) 4593635"
1773;"Hertelendi Nikolett";1952.10.9;"(20) 2967826"
1774;"Verpeléti Zsuzsanna";1969.6.23;"(70) 1221291"
1775;"Nagy Pál";1976.12.27;"(20) 4588128"
1776;"Csikós Roland";1926.7.28;"(20) 1803919"
1777;"Verpeléti Géza";1951.2.24;"(30) 1664863"
1778;"Magyar Ferenc";1931.2.2;"(20) 2831311"
1779;"Kovács András";1925.4.11;"(30) 3243291"
1780;"Gelencsér Zoltán";1920.2.17;"(20) 2272283"
1781;"Latorczai Géza";1941.4.26;"(20) 1149967"
1782;"Hegyi Zsuzsanna";1938.12.8;"(30) 1598133"
1783;"Molnár Katalin";1937.2.15;"(30) 2717629"
1784;"Eszes Kitti";1962.12.21;"(70) 1179819"
1785;"Vállas Katalin";1954.9.18;"(70) 2677054"
1786;"Kelemen Georgina";1961.12.11;"(20) 4969422"
1787;"Kalas Enikõ";1932.12.11;"(30) 2132346"
1788;"Tóth Dániel";1968.12.11;"(70) 2170415"
1789;"Antal Zsófia";1928.9.19;"(30) 1096474"
1790;"Zoltai Lehel";1966.9.17;"(30) 1135003"
1791;"Nagy Anikó";1959.8.24;"(30) 2123742"
1792;"Molnár Georgina";1938.12.29;"(30) 4079783"
1793;"Kalányos Enikõ";1947.8.6;"(70) 1031665"
1794;"Nyúzó Zsuzsanna";1978.6.16;"(30) 2392133"
1795;"Horkai Tibor";1922.10.16;"(30) 2993717"
1796;"Császár Péter";1947.9.11;"(70) 1034765"
1797;"Koltai Helga";1974.4.25;"(70) 1839747"
1798;"Megyeri Szonja";1926.2.23;"(30) 3288871"
1799;"Darázs Anikó";1946.3.28;"(30) 1477899"
1800;"Nagy Bernadett";1954.5.18;"(30) 2558260"
1801;"Tóth Miklós";1969.6.28;"(30) 4030350"
1802;"Antal Enikõ";1953.3.1;"(20) 2457561"
1803;"Verpeléti Zsófia";1933.10.8;"(70) 2453573"
1804;"Balajti László";1953.12.23;"(30) 2967863"
